naics_edition_year,history_year,history_naics,cur_naics
2022,2012,111110,111110
2022,2017,111110,111110
2022,2022,111110,111110
2022,2012,111120,111120
2022,2017,111120,111120
2022,2022,111120,111120
2022,2012,111130,111130
2022,2017,111130,111130
2022,2022,111130,111130
2022,2012,111140,111140
2022,2017,111140,111140
2022,2022,111140,111140
2022,2012,111150,111150
2022,2017,111150,111150
2022,2022,111150,111150
2022,2012,111160,111160
2022,2017,111160,111160
2022,2022,111160,111160
2022,2012,111191,111191
2022,2017,111191,111191
2022,2022,111191,111191
2022,2012,111199,111199
2022,2017,111199,111199
2022,2022,111199,111199
2022,2012,111211,111211
2022,2017,111211,111211
2022,2022,111211,111211
2022,2012,111219,111219
2022,2017,111219,111219
2022,2022,111219,111219
2022,2012,111310,111310
2022,2017,111310,111310
2022,2022,111310,111310
2022,2012,111320,111320
2022,2017,111320,111320
2022,2022,111320,111320
2022,2012,111331,111331
2022,2017,111331,111331
2022,2022,111331,111331
2022,2012,111332,111332
2022,2017,111332,111332
2022,2022,111332,111332
2022,2012,111333,111333
2022,2017,111333,111333
2022,2022,111333,111333
2022,2012,111334,111334
2022,2017,111334,111334
2022,2022,111334,111334
2022,2012,111335,111335
2022,2017,111335,111335
2022,2022,111335,111335
2022,2012,111336,111336
2022,2017,111336,111336
2022,2022,111336,111336
2022,2012,111339,111339
2022,2017,111339,111339
2022,2022,111339,111339
2022,2012,111411,111411
2022,2017,111411,111411
2022,2022,111411,111411
2022,2012,111419,111419
2022,2017,111419,111419
2022,2022,111419,111419
2022,2012,111421,111421
2022,2017,111421,111421
2022,2022,111421,111421
2022,2012,111422,111422
2022,2017,111422,111422
2022,2022,111422,111422
2022,2012,111910,111910
2022,2017,111910,111910
2022,2022,111910,111910
2022,2012,111920,111920
2022,2017,111920,111920
2022,2022,111920,111920
2022,2012,111930,111930
2022,2017,111930,111930
2022,2022,111930,111930
2022,2012,111940,111940
2022,2017,111940,111940
2022,2022,111940,111940
2022,2012,111991,111991
2022,2017,111991,111991
2022,2022,111991,111991
2022,2012,111992,111992
2022,2017,111992,111992
2022,2022,111992,111992
2022,2012,111998,111998
2022,2017,111998,111998
2022,2022,111998,111998
2022,2012,112111,112111
2022,2017,112111,112111
2022,2022,112111,112111
2022,2012,112112,112112
2022,2017,112112,112112
2022,2022,112112,112112
2022,2012,112120,112120
2022,2017,112120,112120
2022,2022,112120,112120
2022,2012,112130,112130
2022,2017,112130,112130
2022,2022,112130,112130
2022,2012,112210,112210
2022,2017,112210,112210
2022,2022,112210,112210
2022,2012,112310,112310
2022,2017,112310,112310
2022,2022,112310,112310
2022,2012,112320,112320
2022,2017,112320,112320
2022,2022,112320,112320
2022,2012,112330,112330
2022,2017,112330,112330
2022,2022,112330,112330
2022,2012,112340,112340
2022,2017,112340,112340
2022,2022,112340,112340
2022,2012,112390,112390
2022,2017,112390,112390
2022,2022,112390,112390
2022,2012,112410,112410
2022,2017,112410,112410
2022,2022,112410,112410
2022,2012,112420,112420
2022,2017,112420,112420
2022,2022,112420,112420
2022,2012,112511,112511
2022,2017,112511,112511
2022,2022,112511,112511
2022,2012,112512,112512
2022,2017,112512,112512
2022,2022,112512,112512
2022,2012,112519,112519
2022,2017,112519,112519
2022,2022,112519,112519
2022,2012,112910,112910
2022,2017,112910,112910
2022,2022,112910,112910
2022,2012,112920,112920
2022,2017,112920,112920
2022,2022,112920,112920
2022,2012,112930,112930
2022,2017,112930,112930
2022,2022,112930,112930
2022,2012,112990,112990
2022,2017,112990,112990
2022,2022,112990,112990
2022,2012,113110,113110
2022,2017,113110,113110
2022,2022,113110,113110
2022,2012,113210,113210
2022,2017,113210,113210
2022,2022,113210,113210
2022,2012,113310,113310
2022,2017,113310,113310
2022,2022,113310,113310
2022,2012,114111,114111
2022,2017,114111,114111
2022,2022,114111,114111
2022,2012,114112,114112
2022,2017,114112,114112
2022,2022,114112,114112
2022,2012,114119,114119
2022,2017,114119,114119
2022,2022,114119,114119
2022,2012,114210,114210
2022,2017,114210,114210
2022,2022,114210,114210
2022,2012,115111,115111
2022,2017,115111,115111
2022,2022,115111,115111
2022,2012,115112,115112
2022,2017,115112,115112
2022,2022,115112,115112
2022,2012,115113,115113
2022,2017,115113,115113
2022,2022,115113,115113
2022,2012,115114,115114
2022,2017,115114,115114
2022,2022,115114,115114
2022,2012,115115,115115
2022,2017,115115,115115
2022,2022,115115,115115
2022,2012,115116,115116
2022,2017,115116,115116
2022,2022,115116,115116
2022,2012,115210,115210
2022,2017,115210,115210
2022,2022,115210,115210
2022,2012,115310,115310
2022,2017,115310,115310
2022,2022,115310,115310
2022,2012,211111,211120
2022,2017,211120,211120
2022,2022,211120,211120
2022,2012,211111,211130
2022,2012,211112,211130
2022,2017,211130,211130
2022,2022,211130,211130
2022,2012,212111,212114
2022,2012,212113,212114
2022,2017,212111,212114
2022,2017,212113,212114
2022,2022,212114,212114
2022,2012,212112,212115
2022,2012,212113,212115
2022,2017,212112,212115
2022,2017,212113,212115
2022,2022,212115,212115
2022,2012,212210,212210
2022,2017,212210,212210
2022,2022,212210,212210
2022,2012,212221,212220
2022,2012,212222,212220
2022,2017,212221,212220
2022,2017,212222,212220
2022,2022,212220,212220
2022,2012,212231,212230
2022,2012,212234,212230
2022,2017,212230,212230
2022,2022,212230,212230
2022,2012,212291,212290
2022,2012,212299,212290
2022,2017,212291,212290
2022,2017,212299,212290
2022,2022,212290,212290
2022,2012,212311,212311
2022,2017,212311,212311
2022,2022,212311,212311
2022,2012,212312,212312
2022,2017,212312,212312
2022,2022,212312,212312
2022,2012,212313,212313
2022,2017,212313,212313
2022,2022,212313,212313
2022,2012,212319,212319
2022,2017,212319,212319
2022,2022,212319,212319
2022,2012,212321,212321
2022,2017,212321,212321
2022,2022,212321,212321
2022,2012,212322,212322
2022,2017,212322,212322
2022,2022,212322,212322
2022,2012,212324,212323
2022,2012,212325,212323
2022,2017,212324,212323
2022,2017,212325,212323
2022,2022,212323,212323
2022,2012,212391,212390
2022,2012,212392,212390
2022,2012,212393,212390
2022,2012,212399,212390
2022,2017,212391,212390
2022,2017,212392,212390
2022,2017,212393,212390
2022,2017,212399,212390
2022,2022,212390,212390
2022,2012,213111,213111
2022,2017,213111,213111
2022,2022,213111,213111
2022,2012,213112,213112
2022,2017,213112,213112
2022,2022,213112,213112
2022,2012,213113,213113
2022,2017,213113,213113
2022,2022,213113,213113
2022,2012,213114,213114
2022,2017,213114,213114
2022,2022,213114,213114
2022,2012,213115,213115
2022,2017,213115,213115
2022,2022,213115,213115
2022,2012,221111,221111
2022,2017,221111,221111
2022,2022,221111,221111
2022,2012,221112,221112
2022,2017,221112,221112
2022,2022,221112,221112
2022,2012,221113,221113
2022,2017,221113,221113
2022,2022,221113,221113
