iter	Passed	Remaining
423	2144	2913
424	2149	2908
425	2154	2903
426	2160	2898
427	2165	2894
428	2173	2892
429	2178	2887
430	2182	2881
431	2188	2877
432	2193	2872
433	2198	2867
434	2204	2863
435	2209	2858
436	2214	2852
437	2220	2849
438	2225	2844
439	2230	2839
440	2237	2835
441	2242	2830
442	2246	2825
443	2253	2821
444	2258	2816
445	2262	2810
446	2270	2808
447	2275	2803
448	2281	2799
449	2286	2795
450	2291	2789
451	2297	2785
452	2301	2779
453	2305	2772
454	2309	2766
455	2315	2762
456	2319	2755
457	2323	2749
458	2327	2743
459	2332	2737
460	2336	2732
461	2341	2727
462	2346	2721
463	2351	2715
464	2355	2710
465	2361	2706
466	2366	2700
467	2371	2695
468	2377	2691
469	2382	2686
470	2386	2680
471	2392	2676
472	2397	2670
473	2402	2665
474	2408	2661
475	2412	2655
476	2416	2649
477	2422	2645
478	2428	2641
479	2434	2637
480	2441	2634
481	2446	2629
482	2452	2624
483	2456	2618
484	2460	2612
485	2464	2606
486	2470	2602
487	2474	2596
488	2478	2589
489	2483	2585
490	2488	2579
491	2492	2573
492	2496	2567
493	2503	2563
494	2507	2558
495	2513	2553
496	2518	2548
497	2522	2543
498	2527	2537
499	2534	2534
500	2538	2528
501	2544	2524
502	2548	2518
503	2552	2511
504	2556	2505
505	2561	2500
506	2565	2494
507	2568	2487
508	2572	2481
509	2577	2476
510	2580	2469
511	2584	2463
512	2588	2457
513	2594	2452
514	2598	2446
515	2601	2440
516	2605	2434
517	2609	2428
518	2613	2421
519	2616	2415
520	2620	2409
521	2625	2403
522	2629	2397
523	2633	2391
524	2638	2387
525	2642	2381
526	2646	2375
527	2650	2369
528	2655	2364
529	2658	2357
530	2662	2351
531	2665	2344
532	2671	2340
533	2675	2335
534	2680	2329
535	2686	2325
536	2691	2320
537	2695	2314
538	2701	2310
539	2704	2304
540	2708	2298
541	2712	2291
542	2717	2287
543	2721	2281
544	2725	2275
545	2728	2269
546	2733	2263
547	2737	2257
548	2740	2251
549	2744	2245
550	2748	2239
551	2751	2233
552	2755	2227
553	2758	2220
554	2762	2215
555	2766	2209
556	2769	2203
557	2773	2196
558	2778	2192
559	2782	2186
560	2786	2180
561	2789	2174
562	2794	2169
563	2798	2163
564	2801	2157
565	2805	2150
566	2810	2146
567	2814	2140
568	2818	2134
569	2821	2128
570	2826	2123
571	2830	2117
572	2834	2112
573	2837	2106
574	2842	2100
575	2845	2094
576	2848	2088
577	2852	2082
578	2856	2077
579	2860	2071
580	2863	2065
581	2867	2059
582	2872	2054
583	2876	2049
584	2880	2043
585	2883	2037
586	2888	2032
587	2891	2026
588	2895	2020
589	2898	2014
590	2903	2009
591	2907	2003
592	2910	1997
593	2914	1991
594	2919	1987
595	2922	1981
596	2926	1975
597	2930	1969
598	2935	1965
599	2939	1959
600	2942	1953
601	2946	1948
602	2951	1942
603	2955	1937
604	2958	1931
605	2964	1927
606	2968	1922
607	2972	1916
608	2976	1911
609	2982	1906
610	2986	1901
611	2990	1896
612	2995	1891
613	2999	1885
614	3004	1880
615	3008	1875
616	3014	1871
617	3018	1865
618	3023	1860
619	3028	1856
620	3033	1851
621	3037	1846
622	3042	1841
623	3046	1835
624	3051	1830
625	3055	1825
626	3061	1821
627	3066	1816
628	3070	1811
629	3076	1806
630	3080	1801
631	3084	1796
632	3089	1791
633	3094	1786
634	3098	1781
635	3105	1777
636	3110	1772
637	3114	1767
638	3120	1763
639	3125	1758
640	3129	1752
641	3135	1748
642	3139	1743
643	3144	1738
644	3148	1732
645	3154	1728
646	3157	1722
647	3161	1717
648	3165	1712
649	3170	1707
650	3174	1701
651	3178	1696
652	3183	1691
653	3187	1686
654	3191	1680
655	3196	1675
656	3212	1676
657	3218	1672
658	3222	1667
659	3227	1662
660	3232	1658
661	3237	1653
662	3242	1648
663	3250	1644
664	3256	1640
665	3262	1636
666	3267	1631
667	3272	1626
668	3279	1622
669	3284	1617
670	3289	1612
671	3296	1608
672	3301	1603
673	3305	1599
674	3312	1595
675	3317	1590
676	3323	1585
677	3328	1580
678	3333	1575
679	3340	1571
680	3345	1566
681	3349	1561
682	3356	1557
683	3361	1552
684	3366	1547
685	3371	1543
686	3377	1538
