iter	Passed	Remaining
409	6996	10068
410	7009	10044
411	7020	10019
412	7029	9991
413	7039	9964
414	7049	9936
415	7057	9907
416	7068	9882
417	7080	9858
418	7089	9830
419	7100	9805
420	7111	9780
421	7119	9751
422	7130	9726
423	7140	9699
424	7148	9671
425	7159	9646
426	7170	9621
427	7179	9595
428	7190	9569
429	7199	9543
430	7208	9517
431	7220	9493
432	7230	9468
433	7240	9442
434	7250	9416
435	7258	9389
436	7268	9363
437	7334	9411
438	7344	9385
439	7364	9372
440	7379	9354
441	7389	9329
442	7398	9302
443	7409	9278
444	7418	9252
445	7427	9226
446	7438	9202
447	7447	9176
448	7456	9150
449	7466	9125
450	7474	9099
451	7484	9074
452	7496	9051
453	7505	9026
454	7516	9003
455	7525	8977
456	7533	8951
457	7543	8927
458	7551	8900
459	7561	8876
460	7572	8853
461	7580	8827
462	7592	8805
463	7602	8782
464	7610	8756
465	7622	8734
466	7635	8714
467	7643	8688
468	7654	8666
469	7663	8642
470	7672	8617
471	7683	8594
472	7693	8571
473	7702	8547
474	7713	8525
475	7722	8501
476	7732	8478
477	7744	8456
478	7754	8434
479	7763	8410
480	7773	8387
481	7782	8364
482	7792	8340
483	7801	8317
484	7809	8292
485	7820	8270
486	7829	8247
487	7837	8222
488	7848	8201
489	7859	8179
490	7867	8155
491	7876	8132
492	7884	8108
493	7894	8086
494	7905	8064
495	7916	8043
496	7927	8022
497	7939	8003
498	7950	7982
499	7960	7960
500	7970	7938
501	7980	7917
502	7991	7896
503	8003	7876
504	8015	7856
505	8022	7832
506	8033	7811
507	8043	7789
508	8050	7765
509	8061	7745
510	8070	7723
511	8079	7700
512	8095	7685
513	8106	7664
514	8114	7641
515	8124	7621
516	8134	7599
517	8144	7578
518	8154	7557
519	8164	7536
520	8173	7514
521	8183	7493
522	8192	7472
523	8203	7451
524	8213	7430
525	8222	7409
526	8232	7389
527	8241	7367
528	8251	7346
529	8262	7327
530	8272	7306
531	8281	7284
532	8293	7266
533	8305	7247
534	8313	7225
535	8324	7205
536	8334	7185
537	8344	7165
538	8352	7143
539	8364	7125
540	8372	7103
541	8382	7083
542	8391	7062
543	8400	7041
544	8411	7022
545	8422	7003
546	8438	6988
547	8456	6974
548	8467	6955
549	8475	6934
550	8484	6914
551	8495	6894
552	8503	6873
553	8514	6855
554	8524	6834
555	8533	6814
556	8544	6795
557	8553	6775
558	8561	6754
559	8572	6735
560	8580	6714
561	8592	6696
562	8605	6679
563	8619	6663
564	8632	6646
565	8641	6625
566	8651	6606
567	8659	6585
568	8668	6566
569	8677	6546
570	8685	6525
571	8696	6507
572	8705	6487
573	8713	6467
574	8725	6449
575	8732	6428
576	8743	6409
577	8753	6390
578	8760	6370
579	8772	6352
580	8781	6332
581	8789	6312
582	8800	6294
583	8807	6273
584	8817	6255
585	8827	6236
586	8835	6216
587	8844	6196
588	8851	6176
589	8862	6158
590	8869	6138
591	8879	6119
592	8890	6101
593	8899	6082
594	8911	6066
595	8923	6048
596	8930	6028
597	8940	6010
598	8950	5992
599	8958	5972
600	8969	5954
601	8976	5934
602	8986	5916
603	8995	5897
604	9003	5878
605	9015	5861
606	9024	5842
607	9032	5823
608	9042	5805
609	9050	5786
610	9059	5768
611	9067	5748
612	9077	5730
613	9086	5712
614	9094	5693
615	9105	5676
616	9113	5656
617	9122	5638
618	9131	5620
619	9140	5602
620	9151	5585
621	9161	5567
622	9170	5549
623	9183	5533
624	9192	5515
625	9200	5496
626	9211	5479
627	9220	5461
628	9275	5470
629	9283	5452
630	9299	5438
631	9311	5422
632	9322	5404
633	9330	5386
634	9339	5368
635	9349	5351
636	9356	5332
637	9370	5316
638	9380	5299
639	9387	5280
640	9398	5263
641	9408	5246
642	9415	5227
643	9426	5211
644	9433	5192
645	9443	5175
646	9452	5157
647	9461	5139
648	9472	5123
649	9480	5104
650	9491	5088
651	9500	5070
652	9508	5053
653	9519	5036
654	9528	5018
655	9538	5001
656	9554	4988
657	9568	4973
658	9581	4957
659	9590	4940
660	9599	4923
661	9611	4907
662	9625	4892
663	9634	4875
664	9645	4858
665	9657	4843
666	9666	4826
667	9675	4808
668	9686	4792
669	9698	4776
670	9709	4760
671	9722	4745
672	9734	4729
673	9745	4713
674	9754	4696
675	9766	4680
676	9777	4664
677	9786	4647
678	9796	4631
679	9810	4616
680	9826	4602
681	9839	4587
682	9853	4573
683	9861	4556
684	9872	4539
685	9883	4523
686	9891	4506
687	9916	4496
688	9924	4479
689	9934	4463
690	9943	4446
691	9952	4429
692	9963	4413
693	9973	4397
694	9981	4380
695	9991	4364
696	9999	4346
697	10010	4331
698	10019	4314
699	10027	4297
700	10038	4281
701	10046	4264
702	10056	4248
703	10066	4232
704	10074	4215
705	10087	4200
706	10098	4185
707	10107	4168
708	10117	4152
709	10129	4137
710	10139	4121
711	10148	4104
712	10158	4088
713	10172	4074
714	10185	4060
715	10194	4043
716	10205	4028
717	10215	4012
718	10224	3996
719	10237	3981
720	10249	3966
721	10259	3950
722	10271	3935
723	10283	3920
724	10292	3904
725	10300	3887
726	10312	3872
727	10323	3857
728	10331	3840
729	10341	3825
730	10350	3808
731	10360	3793
732	10370	3777
733	10377	3760
734	10387	3745
735	10398	3729
736	10405	3713
737	10415	3697
738	10424	3681
739	10434	3666
740	10444	3650
741	10451	3634
742	10461	3618
743	10468	3601
744	10479	3586
745	10490	3571
746	10497	3555
747	10507	3540
748	10514	3523
749	10525	3508
750	10533	3492
751	10543	3476
752	10552	3461
753	10561	3445
754	10572	3430
755	10585	3416
756	10599	3402
757	10609	3387
758	10619	3371
759	10632	3357
760	10645	3343
761	10657	3328
762	10666	3313
763	10679	3298
764	10691	3284
765	10699	3268
766	10707	3252
767	10719	3238
768	10730	3223
769	10738	3207
770	10751	3193
771	10763	3178
772	10771	3163
773	10782	3148
774	10793	3133
775	10801	3117
776	10811	3102
777	10821	3087
778	10829	3072
779	10841	3057
780	10851	3042
781	10859	3027
782	10871	3012
783	10882	2998
784	10891	2982
785	10904	2968
786	10916	2954
787	10930	2940
788	10938	2925
789	10949	2910
790	10960	2895
791	10968	2880
792	10979	2865
793	10988	2850
794	10996	2835
795	11007	2821
796	11019	2806
797	11029	2791
798	11040	2777
799	11054	2763
800	11065	2749
801	11074	2734
802	11088	2720
803	11101	2706
804	11114	2692
805	11161	2686
806	11185	2675
807	11197	2660
808	11216	2648
809	11227	2633
810	11237	2618
811	11246	2603
812	11258	2589
813	11268	2574
814	11277	2559
815	11288	2545
816	11298	2530
817	11309	2516
818	11320	2501
819	11331	2487
820	11339	2472
821	11352	2458
822	11364	2444
823	11374	2429
824	11384	2414
825	11396	2400
826	11407	2386
827	11415	2371
828	11426	2356
829	11438	2342
830	11448	2328
831	11460	2314
832	11471	2299
833	11483	2285
834	11492	2271
835	11505	2257
836	11519	2243
837	11533	2229
838	11544	2215
839	11552	2200
840	11568	2187
841	11581	2173
842	11593	2159
843	11602	2144
844	11613	2130
845	11626	2116
846	11639	2102
847	11654	2088
848	11665	2074
849	11676	2060
850	11688	2046
851	11701	2032
852	11713	2018
853	11723	2004
